issue_id,num_reassignments
CAMEL-2678,1.0
HADOOP-16487,0.0
CAMEL-15554,0.0
CAMEL-4229,0.0
CAMEL-21616,0.0
CAMEL-18267,0.0
CAMEL-3464,1.0
CAMEL-10362,1.0
HADOOP-1110,1.0
CAMEL-18925,0.0
CAMEL-6470,0.0
CAMEL-19880,0.0
HADOOP-17508,0.0
CAMEL-18264,0.0
CAMEL-17344,0.0
HADOOP-18049,0.0
HADOOP-9450,1.0
CAMEL-16152,1.0
CAMEL-23946,1.0
CAMEL-18782,1.0
CAMEL-20186,0.0
HADOOP-13981,0.0
CAMEL-15884,0.0
CAMEL-313,0.0
CAMEL-22739,0.0
HADOOP-13946,0.0
CAMEL-11080,1.0
CAMEL-11597,3.0
CAMEL-13717,1.0
CAMEL-1474,1.0
HADOOP-14126,1.0
HADOOP-19698,1.0
HADOOP-7593,1.0
CAMEL-17277,0.0
CAMEL-17351,0.0
HADOOP-9315,0.0
CAMEL-14299,0.0
HADOOP-6860,0.0
CAMEL-18748,1.0
CAMEL-7404,1.0
CAMEL-2482,2.0
CAMEL-18471,0.0
CAMEL-11552,0.0
CAMEL-4451,0.0
CAMEL-9466,1.0
CAMEL-6392,1.0
CAMEL-20138,0.0
CAMEL-22317,0.0
CAMEL-22033,0.0
CAMEL-13944,1.0
CAMEL-984,0.0
CAMEL-22579,0.0
HADOOP-2189,2.0
CAMEL-18604,0.0
HADOOP-37,0.0
CAMEL-23516,1.0
HADOOP-19160,0.0
CAMEL-22063,1.0
CAMEL-2676,0.0
CAMEL-15541,0.0
HADOOP-18131,0.0
CAMEL-21447,1.0
HADOOP-756,1.0
CAMEL-11277,1.0
CAMEL-190,0.0
CAMEL-431,1.0
CAMEL-24225,0.0
CAMEL-6895,1.0
HADOOP-16832,1.0
HADOOP-6079,0.0
HADOOP-16368,0.0
CAMEL-4128,0.0
CAMEL-4262,0.0
CAMEL-9713,1.0
CAMEL-5085,0.0
HADOOP-19495,1.0
CAMEL-10442,1.0
CAMEL-22503,0.0
HADOOP-15644,0.0
CAMEL-16253,0.0
CAMEL-6989,0.0
HADOOP-13360,0.0
CAMEL-908,1.0
CAMEL-12852,1.0
HADOOP-5204,1.0
