loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
1282,3.6315789473684212,76,7,TIKA-4565,TIKA,ai_era,Task,0
3577,3.5350877192982457,228,16,TIKA-4707,TIKA,ai_era,Task,0
145,2.8333333333333335,6,1,TIKA-623,TIKA,pre_ai,New Feature,0
1976,2.547486033519553,179,7,TIKA-3853,TIKA,pre_ai,Wish,0
421,2.84375,32,1,TIKA-3242,TIKA,pre_ai,Task,0
607,3.25,32,3,TIKA-4732,TIKA,ai_era,Improvement,0
1179,5.833333333333333,42,1,TIKA-4299,TIKA,ai_era,Task,0
1228,4.595744680851064,47,6,TIKA-1332,TIKA,pre_ai,Sub-task,0
199,3.2,10,2,TIKA-4188,TIKA,ai_era,Improvement,0
25,2.0,2,1,TIKA-3899,TIKA,pre_ai,Task,0
14700,3.8075,800,60,TIKA-4819,TIKA,ai_era,Task,0
504,3.411764705882353,34,2,TIKA-3135,TIKA,pre_ai,Task,0
504,4.043478260869565,23,1,TIKA-4761,TIKA,ai_era,Task,0
271,4.375,8,2,TIKA-4025,TIKA,ai_era,Task,0
369,2.4761904761904763,21,3,TIKA-3799,TIKA,pre_ai,Task,0
645,3.4166666666666665,36,2,TIKA-4220,TIKA,ai_era,Task,0
696,5.678571428571429,28,3,TIKA-4091,TIKA,ai_era,Bug,1
59,2.0,4,1,TIKA-4236,TIKA,ai_era,Bug,1
302,20.75,4,1,TIKA-4308,TIKA,ai_era,Bug,1
259,2.878787878787879,33,1,TIKA-276,TIKA,pre_ai,Improvement,0
121,7.8,5,1,TIKA-334,TIKA,pre_ai,Improvement,0
281,2.6818181818181817,22,1,TIKA-2056,TIKA,pre_ai,Bug,1
133,1.2666666666666666,15,4,TIKA-1809,TIKA,pre_ai,Improvement,0
472,3.608695652173913,23,2,TIKA-3696,TIKA,pre_ai,Task,0
711,2.640625,64,2,TIKA-3580,TIKA,ai_era,Task,0
270,3.2857142857142856,14,2,TIKA-241,TIKA,pre_ai,Improvement,0
1040,2.292682926829268,82,9,TIKA-4671,TIKA,ai_era,New Feature,0
409,7.916666666666667,12,2,TIKA-1707,TIKA,pre_ai,Improvement,0
252,3.5384615384615383,13,1,TIKA-4459,TIKA,ai_era,Bug,1
195,2.0434782608695654,23,1,TIKA-84,TIKA,pre_ai,New Feature,0
289,4.533333333333333,15,1,TIKA-2571,TIKA,pre_ai,Bug,1
427,7.0,12,2,TIKA-4688,TIKA,ai_era,Task,0
68,1.8571428571428572,7,1,TIKA-4126,TIKA,ai_era,Bug,1
425,1.9142857142857144,35,2,TIKA-3855,TIKA,pre_ai,Task,0
479,2.838709677419355,31,4,TIKA-4338,TIKA,ai_era,Bug,1
762,9.666666666666666,24,1,TIKA-748,TIKA,pre_ai,Bug,1
183,4.8,5,1,TIKA-1269,TIKA,pre_ai,Improvement,0
2588,5.3,110,6,TIKA-4682,TIKA,ai_era,Improvement,0
1030,2.3625,80,11,TIKA-4558,TIKA,ai_era,Task,0
329,3.611111111111111,18,1,TIKA-4531,TIKA,ai_era,Improvement,0
6478,2.662531017369727,403,58,TIKA-3948,TIKA,ai_era,Task,0
466,5.068965517241379,29,1,TIKA-4759,TIKA,ai_era,Task,0
495,3.8684210526315788,38,6,TIKA-379,TIKA,pre_ai,Bug,1
410,4.739130434782608,23,1,TIKA-4401,TIKA,ai_era,Task,0
300,2.76,25,1,TIKA-1147,TIKA,pre_ai,Bug,1
1186,5.613636363636363,44,1,TIKA-4811,TIKA,ai_era,Bug,1
521,2.3225806451612905,31,2,TIKA-4542,TIKA,ai_era,Improvement,0
7126,2.4467713787085517,573,46,TIKA-4672,TIKA,ai_era,New Feature,0
185,2.588235294117647,17,1,TIKA-2955,TIKA,pre_ai,Bug,1
135,10.166666666666666,6,1,TIKA-910,TIKA,pre_ai,Bug,1
286,2.210526315789474,19,3,TIKA-4187,TIKA,ai_era,New Feature,0
410,1.596774193548387,62,1,TIKA-3581,TIKA,pre_ai,Bug,1
483,3.09375,32,7,TIKA-44,TIKA,pre_ai,Bug,1
110,4.75,4,1,TIKA-1280,TIKA,pre_ai,Improvement,0
254,10.625,8,1,TIKA-2982,TIKA,pre_ai,Bug,1
654,6.95,20,2,TIKA-2281,TIKA,pre_ai,Improvement,0
363,4.111111111111111,18,1,TIKA-816,TIKA,pre_ai,Bug,1
109,3.3333333333333335,6,1,TIKA-279,TIKA,pre_ai,Bug,1
5457,4.94949494949495,297,14,TIKA-4744,TIKA,ai_era,Task,0
6582,6.18359375,256,18,TIKA-4731,TIKA,ai_era,Task,0
149,3.0,9,1,TIKA-3639,TIKA,pre_ai,Bug,1
2441,4.3247863247863245,117,8,TIKA-1945,TIKA,pre_ai,Bug,1
84,5.333333333333333,3,1,TIKA-4617,TIKA,ai_era,Task,0
512,2.590909090909091,44,1,TIKA-3986,TIKA,ai_era,Task,0
3117,2.8660287081339715,209,21,TIKA-4568,TIKA,ai_era,Task,0
348,7.538461538461538,13,1,TIKA-1934,TIKA,pre_ai,Sub-task,0
2958,2.823809523809524,210,18,TIKA-4636,TIKA,ai_era,Task,0
115,2.6,5,1,TIKA-3800,TIKA,pre_ai,Task,0
795,1.989795918367347,98,2,TIKA-2978,TIKA,pre_ai,Improvement,0
1363,3.6619718309859155,71,4,TIKA-4498,TIKA,ai_era,Task,0
3825,2.795698924731183,279,19,TIKA-4635,TIKA,ai_era,Task,0
8206,3.470842332613391,463,44,TIKA-3655,TIKA,ai_era,Task,0
207,3.6363636363636362,11,1,TIKA-437,TIKA,pre_ai,Improvement,0
184,7.333333333333333,6,1,TIKA-2576,TIKA,pre_ai,Improvement,0
134,3.2857142857142856,7,1,TIKA-4514,TIKA,ai_era,Task,0
643,2.1147540983606556,61,2,TIKA-3779,TIKA,pre_ai,Bug,1
756,9.625,24,1,TIKA-733,TIKA,pre_ai,Bug,1
223,4.2,10,1,TIKA-4705,TIKA,ai_era,Improvement,0
430,5.842105263157895,19,3,TIKA-2861,TIKA,ai_era,Bug,1
230,2.6666666666666665,18,1,TIKA-1526,TIKA,pre_ai,Wish,0
158,1.2916666666666667,24,1,TIKA-710,TIKA,pre_ai,Improvement,0
314,3.0,20,2,TIKA-4310,TIKA,ai_era,Task,0
100,2.0,11,1,TIKA-114,TIKA,pre_ai,Bug,1
76,7.0,2,1,TIKA-3572,TIKA,pre_ai,Wish,0
585,4.826086956521739,23,5,TIKA-3273,TIKA,pre_ai,Improvement,0
542,4.233333333333333,30,1,TIKA-4219,TIKA,ai_era,Task,0
692,2.2650602409638556,83,4,TIKA-4784,TIKA,ai_era,Task,0
197,3.7,10,1,TIKA-4046,TIKA,ai_era,Task,0
2337,5.052083333333333,96,7,TIKA-4719,TIKA,ai_era,Task,0
127,2.0,11,1,TIKA-2470,TIKA,pre_ai,Bug,1
605,3.675675675675676,37,3,TIKA-4278,TIKA,ai_era,Bug,1
226,3.0,7,2,TIKA-1623,TIKA,pre_ai,Bug,1
6805,2.1519434628975267,566,45,TIKA-3304,TIKA,pre_ai,Task,0
1356,5.590909090909091,44,3,TIKA-4027,TIKA,ai_era,Task,0
231,1.76,25,2,TIKA-4355,TIKA,ai_era,Task,0
473,4.111111111111111,27,1,TIKA-4815,TIKA,ai_era,Bug,1
4848,3.7508650519031144,289,32,TIKA-4769,TIKA,ai_era,Task,0
335,3.32,25,1,TIKA-1369,TIKA,pre_ai,Bug,1
175,2.3125,16,1,TIKA-817,TIKA,pre_ai,Bug,1
382,2.484848484848485,33,2,TIKA-4352,TIKA,ai_era,Task,0
1272,5.413043478260869,46,3,TIKA-4202,TIKA,ai_era,New Feature,0
206,4.5,6,1,TIKA-2546,TIKA,pre_ai,Improvement,0
102,1.375,8,3,TIKA-2072,TIKA,pre_ai,Improvement,0
133,7.2,5,1,TIKA-442,TIKA,pre_ai,Improvement,0
726,11.8,20,2,TIKA-4203,TIKA,ai_era,Task,0
499,3.5714285714285716,7,1,TIKA-3957,TIKA,ai_era,Task,0
271,5.0,10,2,TIKA-3104,TIKA,ai_era,Wish,0
200,6.142857142857143,7,1,TIKA-4274,TIKA,ai_era,Improvement,0
415,2.4285714285714284,28,1,TIKA-2385,TIKA,pre_ai,Bug,1
1774,6.841269841269841,63,5,TIKA-4434,TIKA,ai_era,Task,0
339,5.153846153846154,13,2,TIKA-1684,TIKA,pre_ai,Improvement,0
1181,2.3716814159292037,113,4,TIKA-2689,TIKA,ai_era,Bug,1
667,6.739130434782608,23,2,TIKA-3475,TIKA,pre_ai,Task,0
1509,2.6875,128,3,TIKA-2624,TIKA,pre_ai,Bug,1
446,4.9375,16,2,TIKA-4100,TIKA,ai_era,Bug,1
941,3.826923076923077,52,4,TIKA-4613,TIKA,ai_era,Task,0
542,2.1052631578947367,57,2,TIKA-4813,TIKA,ai_era,Task,0
88,1.5,14,1,TIKA-3979,TIKA,ai_era,Improvement,0
626,4.4,30,1,TIKA-1990,TIKA,pre_ai,Bug,1
386,3.611111111111111,18,3,TIKA-4048,TIKA,ai_era,Bug,1
1777,3.0,131,4,TIKA-2290,TIKA,pre_ai,Bug,1
1669,5.485294117647059,68,6,TIKA-3968,TIKA,ai_era,Task,0
100,2.625,8,1,TIKA-81,TIKA,pre_ai,Improvement,0
408,2.7435897435897436,39,1,TIKA-4442,TIKA,ai_era,Improvement,0
7766,2.8666666666666667,510,39,TIKA-3903,TIKA,pre_ai,Task,0
1874,3.5,98,9,TIKA-4333,TIKA,ai_era,Task,0
147,8.0,5,1,TIKA-472,TIKA,pre_ai,Improvement,0
233,6.888888888888889,9,1,TIKA-794,TIKA,pre_ai,Bug,1
2346,2.5081967213114753,183,11,TIKA-4716,TIKA,ai_era,Task,0
976,2.6027397260273974,73,10,TIKA-4544,TIKA,ai_era,Task,0
457,2.9411764705882355,34,1,TIKA-2979,TIKA,pre_ai,Improvement,0
369,6.3,10,1,TIKA-2349,TIKA,pre_ai,Improvement,0
2252,3.952755905511811,127,4,TIKA-4436,TIKA,ai_era,Improvement,0
1239,3.8688524590163933,61,6,TIKA-4535,TIKA,ai_era,Improvement,0
397,2.793103448275862,29,2,TIKA-537,TIKA,pre_ai,Improvement,0
265,4.833333333333333,12,1,TIKA-1136,TIKA,pre_ai,New Feature,0
698,3.1176470588235294,51,2,TIKA-2579,TIKA,pre_ai,Improvement,0
536,1.7222222222222223,72,2,TIKA-4667,TIKA,ai_era,New Feature,0
276,3.6923076923076925,13,1,TIKA-3334,TIKA,pre_ai,Task,0
147,3.4444444444444446,9,1,TIKA-247,TIKA,pre_ai,Improvement,0
1289,3.1842105263157894,76,8,TIKA-4575,TIKA,ai_era,Task,0
169,2.1666666666666665,18,1,TIKA-317,TIKA,pre_ai,Improvement,0
1512,3.28,75,9,TIKA-4670,TIKA,ai_era,Bug,1
1286,3.8333333333333335,78,4,TIKA-4340,TIKA,ai_era,Sub-task,0
588,3.9615384615384617,26,3,TIKA-2782,TIKA,pre_ai,Task,0
175,4.8,10,1,TIKA-679,TIKA,pre_ai,Improvement,0
291,11.0,6,1,TIKA-4211,TIKA,ai_era,Bug,1
231,7.6,10,1,TIKA-508,TIKA,pre_ai,Improvement,0
482,3.4242424242424243,33,2,TIKA-4425,TIKA,ai_era,Task,0
37,1.8,5,1,TIKA-102,TIKA,pre_ai,Improvement,0
172,2.875,8,2,TIKA-1834,TIKA,pre_ai,Sub-task,0
1694,1.8211920529801324,151,10,TIKA-4676,TIKA,ai_era,Improvement,0
389,1.446808510638298,47,3,TIKA-2373,TIKA,pre_ai,Bug,1
2979,2.7301587301587302,252,5,TIKA-4243,TIKA,ai_era,New Feature,0
1148,2.0,121,1,TIKA-4485,TIKA,ai_era,Bug,1
600,2.2045454545454546,44,3,TIKA-4507,TIKA,ai_era,Task,0
29,1.0,2,1,TIKA-2211,TIKA,pre_ai,Bug,1
416,4.857142857142857,21,1,TIKA-711,TIKA,pre_ai,Bug,1
135,3.1818181818181817,11,1,TIKA-4564,TIKA,ai_era,Task,0
