loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,real_issue_type,defect_prone_strict
3182,3.2033898305084745,236,2,HADOOP-3571,HADOOP,pre_ai,Bug,1
90,1.2,15,1,HADOOP-3645,HADOOP,pre_ai,Bug,1
2653,2.136986301369863,219,3,HADOOP-3595,HADOOP,pre_ai,Bug,1
1073,2.4578313253012047,83,2,HADOOP-3588,HADOOP,pre_ai,Bug,1
852,2.3142857142857145,70,4,HADOOP-2664,HADOOP,pre_ai,New Feature,0
803,3.0,59,4,HADOOP-3341,HADOOP,pre_ai,Improvement,0
132,1.608695652173913,23,1,HADOOP-3556,HADOOP,pre_ai,Improvement,0
2400,1.9849056603773585,265,2,HADOOP-3667,HADOOP,pre_ai,Bug,1
366,2.057142857142857,35,1,HADOOP-3640,HADOOP,pre_ai,Bug,1
680,3.25531914893617,47,1,HADOOP-3635,HADOOP,pre_ai,Bug,1
760,2.980392156862745,51,1,HADOOP-3572,HADOOP,pre_ai,Improvement,0
80,2.1666666666666665,6,1,HADOOP-3652,HADOOP,pre_ai,Bug,1
2991,3.357487922705314,207,2,HADOOP-3649,HADOOP,pre_ai,Bug,1
2205,2.524137931034483,145,5,HADOOP-3604,HADOOP,pre_ai,Bug,1
863,1.6710526315789473,76,7,HADOOP-3402,HADOOP,pre_ai,New Feature,0
2175,2.262376237623762,202,3,HADOOP-3665,HADOOP,pre_ai,Bug,1
1819,3.350515463917526,97,1,HADOOP-3875,HADOOP,pre_ai,Bug,1
707,1.65,100,4,HADOOP-3683,HADOOP,pre_ai,Bug,1
2649,3.4743589743589745,156,2,HADOOP-3864,HADOOP,pre_ai,Bug,1
545,2.5952380952380953,42,5,HADOOP-3853,HADOOP,pre_ai,Improvement,0
4932,2.813888888888889,360,7,HADOOP-657,HADOOP,pre_ai,Improvement,0
212,2.2777777777777777,18,1,HADOOP-9,HADOOP,pre_ai,Bug,1
1646,3.3047619047619046,105,3,HADOOP-3202,HADOOP,pre_ai,Improvement,0
59,1.0,3,1,HADOOP-3851,HADOOP,pre_ai,Bug,1
1640,3.0091743119266057,109,1,HADOOP-3780,HADOOP,pre_ai,Improvement,0
553,3.5,32,2,HADOOP-3852,HADOOP,pre_ai,Improvement,0
31,1.6666666666666667,3,1,HADOOP-3664,HADOOP,pre_ai,Improvement,0
7086,2.474088291746641,521,19,HADOOP-153,HADOOP,pre_ai,New Feature,0
266,2.1363636363636362,22,1,HADOOP-3773,HADOOP,pre_ai,Bug,1
1458,2.973333333333333,75,1,HADOOP-3940,HADOOP,pre_ai,Bug,1
1874,3.121495327102804,107,1,HADOOP-3947,HADOOP,pre_ai,Bug,1
3090,4.313868613138686,137,7,HADOOP-3935,HADOOP,pre_ai,Improvement,0
2952,3.455,200,1,HADOOP-3951,HADOOP,pre_ai,Bug,1
1347,3.36144578313253,83,5,HADOOP-3889,HADOOP,pre_ai,Bug,1
31,1.6666666666666667,3,1,HADOOP-3946,HADOOP,pre_ai,Bug,1
1519,3.0294117647058822,102,21,HADOOP-3585,HADOOP,pre_ai,New Feature,0
262,9.4,5,1,HADOOP-3933,HADOOP,pre_ai,Bug,1
2810,2.883248730964467,197,6,HADOOP-3905,HADOOP,pre_ai,Improvement,0
1948,5.459770114942529,87,4,HADOOP-3962,HADOOP,pre_ai,Bug,1
100,2.1666666666666665,6,1,HADOOP-3957,HADOOP,pre_ai,Bug,1
277,2.0,25,1,HADOOP-2130,HADOOP,pre_ai,Improvement,0
1249,1.8106060606060606,132,6,HADOOP-1480,HADOOP,pre_ai,New Feature,0
6356,3.7115987460815045,319,7,HADOOP-3062,HADOOP,pre_ai,Improvement,0
762,2.21505376344086,93,1,HADOOP-3785,HADOOP,pre_ai,Bug,1
743,3.0576923076923075,52,3,HADOOP-3506,HADOOP,pre_ai,Bug,1
359,2.4705882352941178,34,1,HADOOP-3705,HADOOP,pre_ai,Bug,1
2434,2.42,200,3,HADOOP-3821,HADOOP,pre_ai,Bug,1
127,2.4285714285714284,14,1,HADOOP-3944,HADOOP,pre_ai,Improvement,0
700,3.2916666666666665,48,1,HADOOP-3965,HADOOP,pre_ai,Improvement,0
856,2.6615384615384614,65,1,HADOOP-2330,HADOOP,pre_ai,Improvement,0
765,2.980392156862745,51,1,HADOOP-3995,HADOOP,pre_ai,Bug,1
803,2.195876288659794,97,2,HADOOP-4023,HADOOP,pre_ai,Bug,1
68,1.5714285714285714,7,1,HADOOP-3961,HADOOP,pre_ai,Bug,1
675,1.8771929824561404,57,6,HADOOP-2168,HADOOP,pre_ai,Bug,1
620,3.026315789473684,38,1,HADOOP-3937,HADOOP,pre_ai,Bug,1
7903,2.4798464491362764,521,111,HADOOP-3719,HADOOP,pre_ai,Improvement,0
1639,2.7969924812030076,133,14,HADOOP-3746,HADOOP,pre_ai,New Feature,0
215,2.28,25,1,HADOOP-3769,HADOOP,pre_ai,Improvement,0
6753,3.3952483801295896,463,8,HADOOP-3754,HADOOP,pre_ai,New Feature,0
3901,2.5,282,6,HADOOP-3828,HADOOP,pre_ai,New Feature,0
1873,3.121495327102804,107,1,HADOOP-4040,HADOOP,pre_ai,Bug,1
52,1.2,10,1,HADOOP-3954,HADOOP,pre_ai,Bug,1
118,1.6666666666666667,18,1,HADOOP-4046,HADOOP,pre_ai,Bug,1
7494,3.0108499095840866,553,8,HADOOP-3948,HADOOP,pre_ai,Improvement,0
4536,2.5078125,384,10,HADOOP-3698,HADOOP,pre_ai,New Feature,0
465,4.413793103448276,29,1,HADOOP-3943,HADOOP,pre_ai,Improvement,0
896,2.4591836734693877,98,2,HADOOP-3498,HADOOP,pre_ai,Improvement,0
1987,2.564516129032258,186,5,HADOOP-3941,HADOOP,pre_ai,New Feature,0
2577,2.888888888888889,180,2,HADOOP-3963,HADOOP,pre_ai,Improvement,0
11809,2.634984833164813,989,20,HADOOP-1869,HADOOP,pre_ai,New Feature,0
685,2.6923076923076925,52,3,HADOOP-3361,HADOOP,pre_ai,New Feature,0
3084,3.2457142857142856,175,5,HADOOP-3581,HADOOP,pre_ai,Improvement,0
2907,3.5321637426900585,171,4,HADOOP-4100,HADOOP,pre_ai,Bug,1
5603,2.85459940652819,337,9,HADOOP-3514,HADOOP,pre_ai,Improvement,0
1094,2.389473684210526,95,5,HADOOP-3702,HADOOP,pre_ai,New Feature,0
624,2.7254901960784315,51,4,HADOOP-4097,HADOOP,pre_ai,Bug,1
2223,3.175324675324675,154,2,HADOOP-2148,HADOOP,pre_ai,Improvement,0
901,1.9426229508196722,122,2,HADOOP-3003,HADOOP,pre_ai,Bug,1
6155,2.7937743190661477,514,13,HADOOP-2027,HADOOP,pre_ai,Bug,1
