loc,cyclomatic_complexity,num_functions,num_files_changed,token_count,project_name,era,defect_prone
781,1.3243243243243243,111,3,4760,CAMEL,ai_era,1
227,2.0,24,1,1533,HADOOP,pre_ai,1
7019,1.938223938223938,518,23,44387,HADOOP,ai_era,1
22916,2.958395245170877,1346,39,163187,HADOOP,ai_era,1
2027,2.347368421052632,190,7,13653,CAMEL,ai_era,1
656,1.84,75,5,4541,CAMEL,ai_era,1
1365,2.5806451612903225,124,1,8234,CAMEL,ai_era,1
306,2.3448275862068964,29,1,2312,CAMEL,pre_ai,1
4261,2.5793650793650795,252,4,29235,HADOOP,ai_era,1
95,3.571428571428572,7,1,653,CAMEL,ai_era,1
77,1.0909090909090908,11,4,569,CAMEL,pre_ai,1
821,7.5,26,1,6117,CAMEL,ai_era,1
6457,1.844074844074844,481,9,40289,HADOOP,ai_era,1
239,1.9565217391304348,23,2,1404,CAMEL,ai_era,1
117,1.8888888888888888,9,1,969,CAMEL,pre_ai,1
296,1.5277777777777777,36,9,2095,CAMEL,pre_ai,1
71,2.0,9,1,538,HADOOP,ai_era,1
2488,5.714285714285714,84,6,19987,CAMEL,ai_era,1
879,2.8095238095238093,63,1,5531,HADOOP,pre_ai,1
1039,3.6031746031746033,63,1,7559,HADOOP,pre_ai,1
2881,2.42570281124498,249,2,18050,HADOOP,ai_era,1
713,2.327272727272727,55,2,5866,CAMEL,ai_era,1
394,2.3076923076923075,39,1,2382,CAMEL,pre_ai,1
7164,4.238095238095238,399,4,49104,CAMEL,ai_era,1
1760,4.402777777777778,72,4,13462,CAMEL,ai_era,1
725,1.3300970873786409,103,3,4400,CAMEL,pre_ai,1
3058,2.571428571428572,196,4,17902,HADOOP,pre_ai,1
55,3.6,5,1,470,CAMEL,ai_era,1
118,1.6666666666666667,12,1,959,CAMEL,pre_ai,1
87,4.666666666666667,3,1,783,CAMEL,pre_ai,1
4090,1.8867313915857604,309,8,26136,HADOOP,ai_era,1
4721,2.2258823529411766,425,36,30905,HADOOP,ai_era,1
76,1.7142857142857142,7,1,573,CAMEL,pre_ai,1
163,3.333333333333333,12,1,1175,HADOOP,pre_ai,1
4109,1.6174334140435835,413,3,26213,HADOOP,pre_ai,1
1155,1.420731707317073,164,3,7045,CAMEL,ai_era,1
5391,2.0023696682464456,422,16,35790,HADOOP,ai_era,1
264,1.3888888888888888,36,1,1806,CAMEL,ai_era,1
135,2.6666666666666665,9,1,912,CAMEL,ai_era,1
476,2.8,30,2,3372,CAMEL,ai_era,1
255,4.2,10,1,2033,CAMEL,ai_era,1
3507,2.3846153846153846,234,15,22112,HADOOP,pre_ai,1
79,1.5,12,1,533,CAMEL,pre_ai,1
1617,2.2621951219512195,164,4,9818,CAMEL,pre_ai,1
